Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
198.148.27.131-10.122.140.76-443-62848-6,10.122.140.76,62848,198.148.27.131,443,6,15/02/2024 07:30:12 PM,44350,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,157.83540022547913,7391.666666666667,18104.341994854898,44347.0,0.0,0,0,0,0,0,44350.0,7391.666666666667,18104.341994854898,44347.0,0.0,0,0,0,0,0,140,0.0,157.83540022547913,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
206.242.129.240-1.0.94.127-0-0-0,206.242.129.240,0,1.0.94.127,0,0,15/02/2024 07:30:13 PM,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.2,0.8366600265340756,2.0,0.0,5.0,1.25,0.9574271077563381,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,833333.3333333333,166666.66666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.251.116.154-10.122.140.76-443-57754-17,10.122.140.76,57754,142.251.116.154,443,17,15/02/2024 07:30:15 PM,3108083,149,163,7084.0,5720.0,86.0,33.0,47.54362416107383,17.99905523852327,86.0,23.0,35.0920245398773,14.898757018313706,4119.581105137797,100.38341961910282,9993.836012861739,166018.776037965,2927874.0,0.0,3104081.0,20973.52027027026,241136.94266794636,2934155.0,0.0,3108083.0,19185.697530864214,230424.29916979087,2933377.0,0.0,0,0,0,0,1192,1304,47.93951770271257,52.44390191639026,23.0,86.0,41.18210862619808,17.722090717113435,314.0724993855982,0,0,0,0,0,0,0,0,1.0,41.31410256410256,47.54362416107382,35.0920245398773,0,0,0,0,0,0,149,7084,163,5720,-1,-1,149,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-23.55.124.48-62907-443-6,10.122.140.76,62907,23.55.124.48,443,6,15/02/2024 07:30:17 PM,96155,53,337,1194.0,23088.0,74.0,0.0,22.528301886792455,32.35001116013653,74.0,0.0,68.51038575667657,19.422021562570134,252529.76964276427,4055.9513285840567,247.18508997429313,2360.5708469320225,41119.0,0.0,96154.0,1849.1153846153848,6687.756532455839,41149.0,0.0,55028.0,163.77380952380952,1222.637807523814,14314.0,0.0,0,0,0,0,1120,6824,551.1933856793718,3504.757942904685,0.0,74.0,62.10230179028135,26.883504995480443,722.7228408420219,0,1,0,0,0,0,0,0,6.0,62.261538461538464,22.528301886792452,68.51038575667656,0,0,0,0,0,0,53,1194,337,23088,-1,501,18,0,0,0,0,0,0,0,0,0,No Label
208.67.222.222-10.122.140.76-53-60381-17,10.122.140.76,60381,208.67.222.222,53,17,15/02/2024 07:30:15 PM,5502,5,7,155.0,547.0,31.0,31.0,31.0,0.0,86.0,31.0,78.14285714285714,20.788046015507497,127589.96728462378,2181.0250817884407,500.18181818181813,1656.5938438966757,5495.0,0.0,3.0,0.75,0.49999999999999994,1.0,0.0,5502.0,917.0000000000001,2244.712453745468,5499.0,0.0,0,0,0,0,40,56,908.7604507451836,1272.264631043257,31.0,86.0,56.38461538461538,28.538098691452394,814.4230769230768,0,0,0,0,0,0,0,0,1.0,61.083333333333336,31.0,78.14285714285714,0,0,0,0,0,0,5,155,7,547,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
208.67.222.222-10.122.140.76-53-57820-17,10.122.140.76,57820,208.67.222.222,53,17,15/02/2024 07:30:16 PM,8712,5,7,170.0,550.0,34.0,34.0,34.0,0.0,86.0,34.0,78.57142857142857,19.654152596479815,82644.62809917355,1377.4104683195594,792.0000000000002,2625.4402297519555,8708.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,8712.0,1452.0,3555.6793443728866,8710.0,0.0,0,0,0,0,40,56,573.9210284664831,803.4894398530763,34.0,86.0,58.00000000000001,26.981475126464083,728.0000000000001,0,0,0,0,0,0,0,0,1.0,62.833333333333336,34.0,78.57142857142857,0,0,0,0,0,0,5,170,7,550,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
208.67.220.220-10.122.140.76-53-52575-17,10.122.140.76,52575,208.67.220.220,53,17,15/02/2024 07:30:17 PM,9239,5,7,180.0,252.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,46758.307176101305,1298.841866002814,839.9090909090909,2784.3367057360524,9235.0,0.0,1.0,0.25,0.5,1.0,0.0,9239.0,1539.8333333333333,3770.826191521782,9237.0,0.0,0,0,0,0,40,56,541.1841108345059,757.6577551683082,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,39.0,36.0,36.0,0,0,0,0,0,0,5,180,7,252,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
151.101.1.108-10.122.140.76-443-62680-6,10.122.140.76,62680,151.101.1.108,443,6,15/02/2024 07:30:17 PM,5820,5,7,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.14285714285714288,0.37796447300922725,1030.9278350515465,2061.855670103093,529.0909090909091,1752.1427712686802,5812.0,0.0,3.0,0.75,0.49999999999999994,1.0,0.0,5820.0,970.0,2374.04549240321,5816.0,0.0,0,0,0,0,100,212,859.1065292096221,1202.749140893471,0.0,1.0,0.5384615384615385,0.5188745216627708,0.2692307692307692,0,0,0,0,1,0,0,0,1.0,0.5833333333333334,1.0,0.14285714285714285,0,0,0,0,0,0,5,5,7,1,-1,322,5,0,0,0,0,0,0,0,0,0,No Label
143.204.165.8-10.122.140.76-443-62748-6,10.122.140.76,62748,143.204.165.8,443,6,15/02/2024 07:30:18 PM,3883,5,7,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.14285714285714288,0.37796447300922725,1545.1970126191088,3090.3940252382176,353.0,1169.1103455191899,3878.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,3883.0,647.1666666666667,1584.2483917197665,3881.0,0.0,0,0,0,0,100,212,1287.6641771825907,1802.729848055627,0.0,1.0,0.5384615384615385,0.5188745216627708,0.2692307692307692,0,0,0,0,1,0,0,0,1.0,0.5833333333333334,1.0,0.14285714285714285,0,0,0,0,0,0,5,5,7,1,-1,172,5,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.156.224.94-62489-443-6,108.156.224.94,443,10.122.140.76,62489,6,15/02/2024 07:30:14 PM,3368,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859.857482185273,280.6666666666667,965.9715159863514,3348.0,0.0,1.0,0.2,0.4472135954999579,1.0,0.0,19.0,3.166666666666667,6.794605703546503,17.0,0.0,0,0,0,0,120,140,1781.4726840855108,2078.3847980997625,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,7,0,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
